loss_streak,session_losses,session_games,session_seconds,frustration,session_deaths,last_game_deaths,role,tilted
0,0,1,1510,4.0,11,11,dps,1
0,0,4,3542,2.0,17,7,dps,0
1,1,1,2263,4.0,12,12,dps,1
1,2,7,6474,3.29,35,7,dps,0
3,3,3,3028,4.0,25,6,dps,1
3,5,6,5704,3.67,54,13,dps,1
2,2,3,3027,4.0,19,7,dps,1
2,2,2,3154,4.5,22,13,support,1
0,0,2,2886,2.5,11,5,support,0
0,0,2,2814,2.0,13,6,dps,0
1,1,2,2464,4.5,18,11,dps,1
